MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice
6.2,44.8,13860,32298,33266,1343.172,42.178057,1354.253,11.08,68,74,3.6,8,5.2,81.40802137920954,1.2375072691735483,-0.12922323316085202,119800
5.4,31.3,21416,34194,36860,1229.334,42.453281,1273.129,43.795,71,68,3.9,9,4.2,59.02263258642044,1.398416852556405,-0.04489202535258941,218700
5.6,44.1,42244,35816,38063,2911.756,41.947232,3006.355,94.6,51,145,4.3,6,5.4,71.72090345332198,1.0228329217548435,0.17942387567483944,239400
5.7,46.9,17369,38740,40140,2245.396,43.555105,2412.845,167.449,58,111,4.2,6,6.1,73.5038953240309,1.3587892776189812,0.0518445855161187,208600
5.6,44.2,15236,29014,34697,2152.756,43.312377,2190.839,38.083,55,120,4.0,6,5.1,75.46077789644124,1.265906776071492,-0.07169918751431319,151500
6.1,43.9,24664,32513,32137,1563.903,43.458758,3582.085,2018.182,70,66,4.5,12,5.2,81.66941663087947,1.3439093727798668,-0.05571291428733747,130000
5.3,41.1,242970,57953,50214,1114.982,41.15277,1294.982,179.999,47,165,5.0,9,5.8,63.85924002331868,0.7024171995816076,1.2503682327888732,544100
6.3,42.9,10544,29734,36969,1535.206,42.701363,1544.377,9.171,70,60,3.7,10,5.6,80.52224319940436,1.4347145993572255,-0.2261906300568658,118800
6.0,40.7,5892,28001,32394,875.786,42.638237,973.291,97.505,67,71,3.6,9,4.7,78.35981288718446,1.2700652789450626,-0.2234902586191488,142300
5.4,39.1,42129,27944,31205,1098.008,36.041974,1125.965,27.957,42,197,4.5,7,5.6,68.5382333451003,0.025591635515612707,0.04655277195469599,160900
5.5,43.9,10248,27446,25389,673.381,35.920951,682.851,9.47,40,206,4.6,5,5.0,75.10782158657726,-0.0303987322611222,-0.15377608334682974,138900
5.2,50.6,3370,26026,24577,608.801,36.489356,612.656,3.855,46,181,4.3,7,5.9,75.52792759850078,0.22340756841310425,-0.27779755550482305,150500
5.5,41.5,5751,22483,26122,1376.453,34.974996,1391.066,14.613,41,201,4.7,6,6.8,65.26334331513122,-0.24002665850672408,-0.17618024213516306,104100
